sample_id,noise,p,state_syndrome,true_error,action,corrected_error,next_syndrome,reward,success
2139,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
2140,bitflip,0.07,0001,XIIII,XIIII,IIIII,0000,1,1
2141,bitflip,0.07,1000,IXIII,IXIII,IIIII,0000,1,1
2142,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
2143,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
2144,bitflip,0.07,0110,IIIXI,IIIXI,IIIII,0000,1,1
2145,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
2146,bitflip,0.07,1000,IXIII,IXIII,IIIII,0000,1,1
2147,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
2148,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
2149,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
2150,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
2151,bitflip,0.07,1000,IXIII,IXIII,IIIII,0000,1,1
2152,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
2153,bitflip,0.07,1100,IIXII,IYIII,IYXII,0001,-1,0
2154,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
2155,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
2156,bitflip,0.07,0011,IIIIX,IZIII,IZIIX,0110,-1,0
2157,bitflip,0.07,1100,IIXII,IYIII,IYXII,0001,-1,0
2158,bitflip,0.07,0011,IIIIX,IZIII,IZIIX,0110,-1,0
2159,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
2160,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
2161,bitflip,0.07,0011,IIIIX,IZIII,IZIIX,0110,-1,0
2162,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
2163,bitflip,0.07,0001,XIIII,XIIII,IIIII,0000,1,1
2164,bitflip,0.07,0110,IIIXI,IIIXI,IIIII,0000,1,1
2165,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
2166,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
2167,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
2168,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
2169,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
2170,bitflip,0.07,0110,IIIXI,IIIXI,IIIII,0000,1,1
2171,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
2172,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
2173,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
2174,bitflip,0.07,1100,IIXII,IYIII,IYXII,0001,-1,0
2175,bitflip,0.07,0001,XIIII,XIIII,IIIII,0000,1,1
2176,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
2177,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
2178,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
2179,bitflip,0.07,1111,IIXIX,IXIII,IXXIX,0111,-1,0
2180,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
2181,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
2182,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
2183,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
2184,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
2185,bitflip,0.07,0010,XIIIX,XIIII,IIIIX,0011,-1,0
2186,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
2187,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
2188,bitflip,0.07,0110,IIIXI,IIIXI,IIIII,0000,1,1
2189,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
2190,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
2191,bitflip,0.07,1001,XXIII,IIIZI,XXIZI,0000,-1,0
2192,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
2193,bitflip,0.07,1000,IXIII,IXIII,IIIII,0000,1,1
2194,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
2195,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
2196,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
2197,bitflip,0.07,0010,XIIIX,XIIII,IIIIX,0011,-1,0
2198,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
2199,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
2200,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
2201,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
2202,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
2203,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
2204,bitflip,0.07,0011,IIIIX,IZIII,IZIIX,0110,-1,0
2205,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
2206,bitflip,0.07,1000,IXIII,IXIII,IIIII,0000,1,1
2207,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
2208,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
2209,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
